date,author,num_commits,num_lines_added,num_lines_removed
2022-06-28,GitHub Action,9,10,10
2022-06-28,Mojmir Vinkler,3,270,40
2022-06-28,Pablo Rosado,7,281,73
2022-06-29,GitHub Action,5,6,6
2022-06-29,Marigold,1,9,6
2022-06-29,Pablo Rosado,5,329,137
2022-06-30,Fiona Spooner,1,280,0
2022-06-30,GitHub Action,7,8,8
2022-06-30,Mojmir Vinkler,1,144,7
2022-06-30,Pablo Rosado,7,478,177
2022-07-01,Fiona Spooner,1,231,172
2022-07-01,GitHub Action,4,5,5
2022-07-01,Mojmir Vinkler,1,7,2
2022-07-01,Pablo Rosado,8,501,191
2022-07-02,GitHub Action,4,4,4
2022-07-03,GitHub Action,5,5,5
2022-07-04,Billy Cox,1,9,1
2022-07-04,Fiona Spooner,2,80,39
2022-07-04,GitHub Action,6,6,6
2022-07-04,Pablo Rosado,6,1828,817
2022-07-05,GitHub Action,5,5,5
2022-07-05,Marigold,2,2207,232
2022-07-05,Mojmir Vinkler,3,390,368
2022-07-05,Pablo Rosado,6,632,111
2022-07-06,Fiona Spooner,2,263,151
2022-07-06,GitHub Action,5,6,6
2022-07-06,Pablo Rosado,4,55,12
2022-07-07,Edouard Mathieu,1,4,4
2022-07-07,Fiona Spooner,5,15,281
2022-07-07,GitHub Action,4,4,4
2022-07-07,Pablo Rosado,2,24,24
2022-07-08,Daniel Bachler,1,735,27
2022-07-08,GitHub Action,4,4,4
2022-07-09,GitHub Action,1,1,1
2022-07-10,GitHub Action,2,2,2
2022-07-11,Daniel Bachler,3,184,77
2022-07-11,GitHub Action,7,7,7
2022-07-11,Marigold,1,13,12
2022-07-11,Mojmir Vinkler,1,4,1
2022-07-12,Fiona Spooner,1,291,0
2022-07-12,GitHub Action,7,7,7
2022-07-13,Fiona Spooner,3,568,299
2022-07-13,GitHub Action,13,13,13
2022-07-13,Jonathan Gilmour,1,1,1
2022-07-13,Mojmir Vinkler,3,230,169
2022-07-13,Pablo Rosado,2,585,0
2022-07-13,lucasrodes,3,434,2
2022-07-13,spoonerf,3,5,19
2022-07-14,Daniel Bachler,1,48,0
2022-07-14,GitHub Action,4,5,5
2022-07-14,Pablo Rosado,6,780,128
2022-07-14,spoonerf,5,36,29
2022-07-15,GitHub Action,4,4,4
2022-07-15,Pablo Rosado,9,918,318
2022-07-15,lucasrodes,1,888,0
2022-07-15,spoonerf,5,40,20
2022-07-16,GitHub Action,4,4,4
2022-07-17,GitHub Action,4,4,4
2022-07-18,Billy Cox,1,355,574
2022-07-18,GitHub Action,6,6,6
2022-07-18,Marigold,1,1,1
