date,author,num_commits,num_lines_added,num_lines_removed
2016-06-07,Jaiden Mispy,2,8,1
2016-06-10,Jaiden Mispy,4,93,56
2016-06-14,Jaiden Mispy,6,97,58
2016-06-15,Jaiden Mispy,2,79,191
2016-06-16,Jaiden Mispy,1,4,4
2016-06-17,Jaiden Mispy,3,26,18
2016-06-18,Jaiden Mispy,1,162,5
2016-06-20,Jaiden Mispy,2,17,526
2016-06-21,Jaiden Mispy,3,15,11
2016-06-22,Jaiden Mispy,2,125,67
2016-06-25,Jaiden Mispy,1,22272,71226
2016-06-27,Jaiden Mispy,6,144,35102
2016-06-28,Jaiden Mispy,15,984,5405
2016-06-29,Jaiden Mispy,8,39302,164
2016-06-30,Jaiden Mispy,1,5,23
2016-07-03,Jaiden Mispy,1,2,2
2016-07-04,Jaiden Mispy,3,1084,835
2016-07-05,Jaiden Mispy,2,113,105
2016-07-06,Jaiden Mispy,3,316,118
2016-07-08,Jaiden Mispy,5,61,31
2016-07-11,Jaiden Mispy,6,306,98
2016-07-12,Jaiden Mispy,3,65,56
2016-07-13,Jaiden Mispy,1,3,6
2016-07-14,Jaiden Mispy,2,237,126
2016-07-15,Jaiden Mispy,3,180,479
2016-07-16,Jaiden Mispy,9,299,255
2016-07-18,Jaiden Mispy,13,917,713
2016-07-19,Jaiden Mispy,1,137,122
2016-07-21,Jaiden Mispy,2,10,9
2016-07-22,Jaiden Mispy,10,380,379
2016-07-23,Jaiden Mispy,1,5,3
2016-07-25,Jaiden Mispy,2,35,16
2016-07-26,Jaiden Mispy,3,190,28
2016-07-28,Jaiden Mispy,5,219,60
2016-07-29,Jaiden Mispy,5,652,397
2016-07-30,Jaiden Mispy,2,210,195
2016-07-31,Jaiden Mispy,2,243,52
2016-08-01,Jaiden Mispy,11,111,43
2016-08-03,Jaiden Mispy,2,81,98
2016-08-04,Jaiden Mispy,5,208,216
2016-08-05,Jaiden Mispy,13,424,428
2016-08-08,Jaiden Mispy,9,496,367
2016-08-09,Jaiden Mispy,5,209,152
2016-08-10,Jaiden Mispy,9,190,127
2016-08-12,Jaiden Mispy,8,473,353
2016-08-15,Jaiden Mispy,5,102,34
2016-08-16,Jaiden Mispy,8,154,45
2016-08-17,Jaiden Mispy,4,14,15
2016-08-18,Jaiden Mispy,1,2,4
2016-08-20,Jaiden Mispy,1,3,2
2016-08-25,Jaiden Mispy,4,78,19
2016-08-28,Jaiden Mispy,1,65,67
2016-08-29,Jaiden Mispy,3,820,801
2016-08-30,Jaiden Mispy,5,1557,1620
2016-09-01,Jaiden Mispy,2,175,114
2016-09-02,Jaiden Mispy,1,174,133
2016-09-03,Jaiden Mispy,1,152,200
2016-09-04,Jaiden Mispy,2,267,304
2016-09-05,Jaiden Mispy,6,87,164
2016-09-06,Jaiden Mispy,3,35,1
2016-09-07,Jaiden Mispy,4,154,122
2016-09-08,Jaiden Mispy,2,23,16
2016-09-13,Jaiden Mispy,1,11,12
2016-09-14,Jaiden Mispy,2,2,2
2016-09-15,Jaiden Mispy,3,19,8
2016-09-16,Jaiden Mispy,6,11993,563
2016-09-19,Jaiden Mispy,3,23,32
2016-09-21,Jaiden Mispy,2,346,212
2016-09-22,Jaiden Mispy,1,335,460
2016-09-23,Jaiden Mispy,7,230,117
2016-09-27,Jaiden Mispy,8,552,575
2016-10-01,Jaiden Mispy,7,90,38
2016-10-05,Jaiden Mispy,2,8,2
2016-10-12,Jaiden Mispy,1,1,1
2016-10-13,Jaiden Mispy,2,81,51
2016-10-15,Jaiden Mispy,1,7,3
2016-10-18,Jaiden Mispy,1,6,7
2016-10-25,Jaiden Mispy,2,11,1
2016-11-01,Jaiden Mispy,1,28,36
2016-11-02,Jaiden Mispy,1,4353,2202
2016-11-03,Jaiden Mispy,9,99,83
2016-11-11,Jaiden Mispy,1,34,20
2016-11-16,Jaiden Mispy,1,16682,35
2016-11-19,Jaiden Mispy,1,341,22
2016-11-21,Jaiden Mispy,1,1,1
2016-11-24,Jaiden Mispy,3,191,78
2016-11-25,Jaiden Mispy,4,259,201
2016-11-28,Jaiden Mispy,1,102,93
2016-11-29,Jaiden Mispy,2,28,22
2016-11-30,Jaiden Mispy,5,99,39
2016-12-01,Jaiden Mispy,7,640,198
2016-12-02,Jaiden Mispy,3,163,65
2016-12-03,Jaiden Mispy,5,135,191
2016-12-06,Jaiden Mispy,2,20,6
2016-12-07,Jaiden Mispy,7,182,11979
2016-12-08,Jaiden Mispy,3,68,42
2016-12-09,Jaiden Mispy,2,272,89
2016-12-10,Jaiden Mispy,3,242,149
2016-12-13,Jaiden Mispy,2,28,9
2016-12-14,Jaiden Mispy,4,205,101
2016-12-15,Jaiden Mispy,10,469,448
2016-12-16,Jaiden Mispy,6,373,286
2016-12-17,Jaiden Mispy,3,688,758
2016-12-19,Jaiden Mispy,1,44,26
2016-12-20,Jaiden Mispy,7,698,641
2016-12-21,Jaiden Mispy,3,376,656
2016-12-22,Jaiden Mispy,4,1833,1057
2016-12-23,Jaiden Mispy,8,528,522
2016-12-24,Jaiden Mispy,12,1565,867
2016-12-25,Jaiden Mispy,10,545,484
2016-12-26,Jaiden Mispy,4,89106,483
2016-12-27,Jaiden Mispy,2,22,13
2016-12-28,Jaiden Mispy,5,192,171
2016-12-29,Jaiden Mispy,2,9,8
2016-12-31,Jaiden Mispy,1,91,9
2017-01-03,Jaiden Mispy,1,21,88598
2017-01-06,Jaiden Mispy,2,249,21
2017-01-07,Jaiden Mispy,2,164,42
2017-01-09,Jaiden Mispy,3,957,2046
2017-01-10,Jaiden Mispy,2,123,61
2017-01-11,Jaiden Mispy,6,15359,1254
2017-01-12,Jaiden Mispy,3,427,174
2017-01-16,Jaiden Mispy,1,3,3
2017-01-20,Jaiden Mispy,1,6,3
2017-01-23,Jaiden Mispy,3,179,29
2017-01-24,Jaiden Mispy,1,158,37
2017-01-25,Jaiden Mispy,6,788,197
2017-01-26,Jaiden Mispy,7,985,258
2017-01-30,Jaiden Mispy,7,490,350
2017-01-31,Jaiden Mispy,3,620,539
2017-02-01,Jaiden Mispy,5,188,56
2017-02-02,Jaiden Mispy,10,1326,21795
2017-02-03,Jaiden Mispy,2,2,1
2017-02-10,Jaiden Mispy,2,510,28
2017-02-12,Jaiden Mispy,2,521,448
2017-02-14,Jaiden Mispy,1,2,2
2017-02-15,Jaiden Mispy,1,8,6
2017-02-17,Jaiden Mispy,2,3548,16
2017-02-20,Jaiden Mispy,2,300,126
2017-02-21,Jaiden Mispy,1,72,52
2017-02-22,Jaiden Mispy,5,748,67
2017-02-23,Jaiden Mispy,12,498,644
2017-02-27,Jaiden Mispy,2,2,2
2017-02-28,Jaiden Mispy,7,1927,1442
2017-03-01,Jaiden Mispy,2,87,54
2017-03-03,Jaiden Mispy,2,257,288
2017-03-06,Jaiden Mispy,3,387,266
2017-03-07,Jaiden Mispy,8,319,103
2017-03-08,Jaiden Mispy,26,8633,36789
2017-03-09,Jaiden Mispy,5,534,329
2017-03-15,Jaiden Mispy,2,415,87
2017-03-17,Jaiden Mispy,1,103,25
2017-03-18,Jaiden Mispy,1,41,23
2017-03-27,Jaiden Mispy,1,8,10
2017-04-01,Jaiden Mispy,2,84,41
2017-04-11,Jaiden Mispy,2,65,46
2017-04-12,Jaiden Mispy,1,41,64
2017-04-13,Jaiden Mispy,3,198,122
2017-04-14,Jaiden Mispy,2,311,226
2017-04-15,Jaiden Mispy,1,18,15
2017-04-15,aaldaber,2,29,18
2017-04-16,aaldaber,1,334,0
2017-04-17,aaldaber,1,11,8
2017-04-18,Jaiden Mispy,2,154340,6
2017-04-19,aaldaber,1,9967,16
2017-04-21,Jaiden Mispy,6,288,288
2017-04-23,aaldaber,2,59,9870
2017-04-24,Jaiden Mispy,5,334,143
2017-04-25,Jaiden Mispy,4,231,312
2017-04-26,Jaiden Mispy,4,289,152
2017-04-27,Jaiden Mispy,6,108,194
2017-04-28,Jaiden Mispy,12,279,898
2017-04-29,Jaiden Mispy,6,310,1011
2017-04-29,aaldaber,1,402,88
2017-04-30,Jaiden Mispy,2,14,23
2017-05-01,Jaiden Mispy,4,107,790
2017-05-01,aaldaber,2,9979,17
2017-05-02,Jaiden Mispy,10,410,223
2017-05-02,aaldaber,4,10944,37337
2017-05-03,Jaiden Mispy,5,339,180
2017-05-03,aaldaber,2,127,40
2017-05-04,Jaiden Mispy,8,547,320
2017-05-04,aaldaber,1,153,49
2017-05-05,Jaiden Mispy,8,506,585
2017-05-05,aaldaber,2,448,316
2017-05-06,Jaiden Mispy,4,373,246
2017-05-08,Jaiden Mispy,8,1717,1203
2017-05-08,aaldaber,2,807,29
2017-05-09,Jaiden Mispy,2,101,93
2017-05-09,aaldaber,3,206,9
2017-05-10,Jaiden Mispy,2,293,140
2017-05-11,Jaiden Mispy,3,265,70
2017-05-13,Jaiden Mispy,1,505,187
2017-05-14,aaldaber,1,27,23
2017-05-15,Jaiden Mispy,1,185,129
2017-05-16,Jaiden Mispy,6,266,334
2017-05-18,Jaiden Mispy,5,34,15
2017-05-19,Jaiden Mispy,9,366,822
2017-05-20,Jaiden Mispy,2,913,283
2017-05-22,Jaiden Mispy,10,208,20935
2017-05-22,aaldaber,2,4756,2080
2017-05-23,Jaiden Mispy,1,12,3
2017-05-23,aaldaber,1,591,10
2017-05-24,aaldaber,1,496,1
2017-05-25,Jaiden Mispy,11,180,148
2017-05-26,aaldaber,1,239,9988
2017-05-29,Jaiden Mispy,1,10,8
2017-05-29,aaldaber,1,130,118
2017-05-30,Jaiden Mispy,10,149,130
2017-05-31,Jaiden Mispy,7,244,215
2017-05-31,aaldaber,1,283,3
2017-06-01,Jaiden Mispy,15,106,91
2017-06-01,aaldaber,3,79,70
2017-06-02,Jaiden Mispy,1,2,2
2017-06-02,aaldaber,5,208,172
2017-06-03,Jaiden Mispy,1,1,0
2017-06-05,Jaiden Mispy,1,4,4
2017-06-05,aaldaber,1,287,84
2017-06-06,Jaiden Mispy,3,10,5
2017-06-07,aaldaber,1,31,22
2017-06-12,aaldaber,2,1014,112
2017-06-13,Jaiden Mispy,6,566,27
2017-06-16,Jaiden Mispy,12,922,807
2017-06-19,Jaiden Mispy,1,10,11
2017-06-19,aaldaber,6,1402,121
2017-06-20,Jaiden Mispy,15,323,3542
2017-06-21,Jaiden Mispy,20,969,1236
2017-06-21,aaldaber,2,1208,1524
2017-06-22,Jaiden Mispy,9,1229,1113
2017-06-23,Jaiden Mispy,5,578,244
2017-06-24,Jaiden Mispy,1,429,193
2017-06-25,Jaiden Mispy,7,959,26371
2017-06-27,aaldaber,2,70,50
2017-06-30,Jaiden Mispy,9,731,790
2017-07-03,Jaiden Mispy,2,87,51
2017-07-04,Jaiden Mispy,1,1,0
2017-07-05,Jaiden Mispy,5,281,131
2017-07-06,Jaiden Mispy,5,20,46
2017-07-07,Jaiden Mispy,3,207,353
2017-07-08,aaldaber,2,38,50
2017-07-10,Jaiden Mispy,6,465,307
2017-07-11,Jaiden Mispy,3,40,45
2017-07-11,aaldaber,1,341,343
2017-07-13,Jaiden Mispy,2,615,289
2017-07-14,Jaiden Mispy,11,530,3113
2017-07-15,Jaiden Mispy,1,67,532
2017-07-17,Jaiden Mispy,1,14,65
2017-07-17,aaldaber,2,2573,85
2017-07-19,Jaiden Mispy,1,83,67
2017-07-20,aaldaber,1,244,185
2017-07-21,Jaiden Mispy,1,3,8
2017-07-21,aaldaber,2,56,21
2017-07-24,Jaiden Mispy,1,1,1
2017-07-25,Jaiden Mispy,3,9,13
2017-07-26,Jaiden Mispy,3,242,219
2017-07-27,Jaiden Mispy,4,215,143
2017-07-28,Jaiden Mispy,3,199,644
2017-07-28,aaldaber,1,41,28
2017-07-30,Jaiden Mispy,1,146,95
2017-08-01,Jaiden Mispy,8,1990,1429
2017-08-02,Jaiden Mispy,1,1,1
2017-08-03,Jaiden Mispy,17,1233,1817
2017-08-04,Jaiden Mispy,7,446,913
2017-08-05,Jaiden Mispy,1,28,7
2017-08-08,Jaiden Mispy,3,131,83
2017-08-09,Jaiden Mispy,2,325,28
2017-08-11,Jaiden Mispy,1,53,92
2017-08-11,aaldaber,1,0,1
2017-08-14,Jaiden Mispy,3,172,85
2017-08-15,Jaiden Mispy,6,443,318
2017-08-16,Jaiden Mispy,4,229,77
2017-08-17,Jaiden Mispy,3,329,95
